Star Rating,Review Title,Review Text,Review Submit Date and Time,App Version Code,Developer Reply Text
2,Downloading tax statements is broken,"Downloading tax statements is broken. It lacks detail on short-term vs long-term capital gains, making tax filing very complicated. I need this statement urgently for my CA.",2026-05-23 18:59:48 UTC,614,
4,Highly recommended for beginners,Highly recommended for beginners and pro investors alike. Low minimum investment limits of just 100 rupees make mutual funds highly accessible to everyone. Five stars all the way!,2026-05-23 18:51:24 UTC,611,
4,Capital gains calculations are incorrect,Capital gains calculations are incorrect. The system keeps throwing a 500 internal server error when I request my FY25 capital gains report. Please fix the PDF export tool as soon as possible.,2026-05-23 18:46:11 UTC,617,
3,Redemption request is stuck in,Redemption request is stuck in pending state for a week. Trying to update my primary bank account for withdrawal is locked and support ticket is ignored. Zero transparency on withdrawal status.,2026-05-23 18:35:45 UTC,655,
5,The design is incredibly,The design is incredibly beautiful and fast. Instant KYC was completed in under 15 minutes on a Sunday and I started my first investment immediately. The dark mode is also beautifully implemented and comfortable.,2026-05-23 17:48:18 UTC,628,
4,App lock and biometric,App lock and biometric setup is buggy. I had to re-enter my personal details three times because the app crashed mid-way. Please simplify the verification screens.,2026-05-23 17:47:00 UTC,629,
5,Highly recommended for,Highly recommended for beginners and pro investors alike. Instant KYC was completed in under 15 minutes on a Sunday and I started my first investment immediately. The dark mode is also beautifully implemented and comfortable.,2026-05-23 17:36:44 UTC,650,
2,Exporting my mutual fund statement,Exporting my mutual fund statement gives a server error. The system keeps throwing a 500 internal server error when I request my FY25 capital gains report. Please fix the PDF export tool as soon as possible.,2026-05-23 17:36:36 UTC,624,
5,The design is incredibly,"The design is incredibly beautiful and fast. The app performance is extremely fast, charts load instantly, and the XIRR tracking is very transparent. The dark mode is also beautifully implemented and comfortable.",2026-05-23 17:22:57 UTC,616,
4,Too many steps required,"Too many steps required just to get started. The app freezes for 10 seconds right after entering the welcome screen OTP. Otherwise, the rest of the application seems well-designed.",2026-05-23 17:20:50 UTC,651,
5,Highly recommended for beginners and,Highly recommended for beginners and pro investors alike. Instant KYC was completed in under 15 minutes on a Sunday and I started my first investment immediately. Kudos to the development team for such a brilliant product!,2026-05-23 17:02:17 UTC,643,
5,The design is incredibly beautiful and,The design is incredibly beautiful and fast. I love the side-by-side fund comparison tool and the portfolio overlap analysis which helped me rebalance. Will definitely continue using this for all my wealth building.,2026-05-23 16:54:14 UTC,611,
1,UPI transaction failed,UPI transaction failed at the last confirmation step. The payment screen times out and crashes back to the dashboard during peak market hours. This payment gateway issue makes the app unreliable.,2026-05-23 16:46:15 UTC,614,
3,Downloading tax statements is broken,"Downloading tax statements is broken. My mutual fund transactions are listed correctly, but the overall summary values are blank. A simple share button is needed.",2026-05-23 16:23:32 UTC,641,
5,Highly recommended for beginners and pro,Highly recommended for beginners and pro investors alike. Low minimum investment limits of just 100 rupees make mutual funds highly accessible to everyone. Will definitely continue using this for all my wealth building.,2026-05-23 16:23:13 UTC,618,
4,The design is incredibly beautiful and,The design is incredibly beautiful and fast. Low minimum investment limits of just 100 rupees make mutual funds highly accessible to everyone. Will definitely continue using this for all my wealth building.,2026-05-23 15:46:17 UTC,610,
3,Downloading tax statements,"Downloading tax statements is broken. My mutual fund transactions are listed correctly, but the overall summary values are blank. A simple share button is needed.",2026-05-23 15:45:01 UTC,638,
5,Best investment app,Best investment app in India! Setting up monthly SIPs is absolutely seamless and the auto-pay works flawlessly every single time. Five stars all the way!,2026-05-23 15:40:15 UTC,616,
3,Unable to withdraw my,"Unable to withdraw my money from liquid funds. I submitted a withdrawal request 10 days ago, the units were debited from my portfolio, but no money has reached my bank. This delay is completely unacceptable for a financial app.",2026-05-23 15:40:02 UTC,626,
2,UPI transaction failed at,"UPI transaction failed at the last confirmation step. I invested 10,000 rupees via UPI, the bank sent a success SMS, but the app displays a payment failed screen. Please process my allotment or refund my money immediately.",2026-05-23 15:27:21 UTC,630,
5,Highly recommended for beginners and pro,Highly recommended for beginners and pro investors alike. Low minimum investment limits of just 100 rupees make mutual funds highly accessible to everyone. The dark mode is also beautifully implemented and comfortable.,2026-05-23 15:18:20 UTC,654,
1,Net banking payment,Net banking payment is completely broken on this app. I tried paying via HDFC net banking but it stuck at the gateway redirection page indefinitely. This payment gateway issue makes the app unreliable.,2026-05-23 15:15:41 UTC,618,
5,Best investment app in,Best investment app in India! Instant KYC was completed in under 15 minutes on a Sunday and I started my first investment immediately. Kudos to the development team for such a brilliant product!,2026-05-23 15:13:09 UTC,621,
2,The onboarding UI is a,The onboarding UI is a bit confusing. Setting up fingerprint login resets my MPIN every single time I restart the phone. Please simplify the verification screens.,2026-05-23 15:12:39 UTC,615,
1,Net banking payment is completely broken,"Net banking payment is completely broken on this app. My bank statement confirms the debit, yet the app shows zero transaction history for this payment. Please process my allotment or refund my money immediately.",2026-05-23 14:53:45 UTC,620,
4,Too many steps required just,Too many steps required just to get started. Setting up fingerprint login resets my MPIN every single time I restart the phone. Needs a smoother registration flow for non-tech-savvy users.,2026-05-23 14:32:36 UTC,611,
5,The design is,"The design is incredibly beautiful and fast. The app performance is extremely fast, charts load instantly, and the XIRR tracking is very transparent. The dark mode is also beautifully implemented and comfortable.",2026-05-23 14:29:12 UTC,613,
2,Capital gains calculations are incorrect,"Capital gains calculations are incorrect. My mutual fund transactions are listed correctly, but the overall summary values are blank. Please fix the PDF export tool as soon as possible.",2026-05-23 14:27:59 UTC,642,
4,The onboarding UI is,The onboarding UI is a bit confusing. The app freezes for 10 seconds right after entering the welcome screen OTP. Please simplify the verification screens.,2026-05-23 14:22:35 UTC,633,
1,Document upload keeps failing,Document upload keeps failing. The live video verification call drops consistently after waiting in the queue for 15 minutes. Extremely disappointed with the onboarding flow.,2026-05-23 14:18:24 UTC,636,
5,I have been using this,"I have been using this app for 2 years without a single issue. The app performance is extremely fast, charts load instantly, and the XIRR tracking is very transparent. The dark mode is also beautifully implemented and comfortable.",2026-05-23 13:22:21 UTC,621,
5,I have been using,I have been using this app for 2 years without a single issue. I love the side-by-side fund comparison tool and the portfolio overlap analysis which helped me rebalance. The dark mode is also beautifully implemented and comfortable.,2026-05-23 13:17:01 UTC,628,
5,Highly recommended for beginners and,Highly recommended for beginners and pro investors alike. Instant KYC was completed in under 15 minutes on a Sunday and I started my first investment immediately. Keep up the great work and thank you for making investing simple.,2026-05-23 13:15:48 UTC,648,
1,Onboarding took much longer than,"Onboarding took much longer than advertised. The tutorial screens cannot be skipped, which is annoying for experienced investors. Needs a smoother registration flow for non-tech-savvy users.",2026-05-23 13:07:59 UTC,642,
5,Highly recommended for beginners and pro,Highly recommended for beginners and pro investors alike. I love the side-by-side fund comparison tool and the portfolio overlap analysis which helped me rebalance. Kudos to the development team for such a brilliant product!,2026-05-23 12:48:27 UTC,630,
3,Document upload keeps failing,"Document upload keeps failing. I uploaded clear, high-resolution photos of my PAN and Aadhaar but the system keeps saying documents are illegible. Not a good start for a new investor.",2026-05-23 12:30:42 UTC,625,
1,Too many steps required,Too many steps required just to get started. There are too many document requirements and no clear instructions on what size PDF to upload. Please simplify the verification screens.,2026-05-23 12:29:14 UTC,616,
5,Best investment app in,Best investment app in India! Low minimum investment limits of just 100 rupees make mutual funds highly accessible to everyone. Five stars all the way!,2026-05-23 12:21:41 UTC,626,
5,I have been,I have been using this app for 2 years without a single issue. Setting up monthly SIPs is absolutely seamless and the auto-pay works flawlessly every single time. Five stars all the way!,2026-05-23 12:20:55 UTC,638,
4,I have been using,I have been using this app for 2 years without a single issue. Setting up monthly SIPs is absolutely seamless and the auto-pay works flawlessly every single time. The dark mode is also beautifully implemented and comfortable.,2026-05-23 11:51:55 UTC,632,
2,App lock and biometric setup,"App lock and biometric setup is buggy. The tutorial screens cannot be skipped, which is annoying for experienced investors. Needs a smoother registration flow for non-tech-savvy users.",2026-05-23 11:48:17 UTC,638,
1,Onboarding took much longer than,"Onboarding took much longer than advertised. The app freezes for 10 seconds right after entering the welcome screen OTP. Otherwise, the rest of the application seems well-designed.",2026-05-23 11:00:47 UTC,642,
2,Onboarding took much longer,Onboarding took much longer than advertised. I had to re-enter my personal details three times because the app crashed mid-way. Please simplify the verification screens.,2026-05-23 10:50:38 UTC,626,
4,Exporting my mutual fund statement gives,Exporting my mutual fund statement gives a server error. The system keeps throwing a 500 internal server error when I request my FY25 capital gains report. I need this statement urgently for my CA.,2026-05-23 10:49:37 UTC,627,
5,I have been using this,I have been using this app for 2 years without a single issue. I love the side-by-side fund comparison tool and the portfolio overlap analysis which helped me rebalance. Five stars all the way!,2026-05-23 10:35:06 UTC,628,
2,Document upload keeps failing,Document upload keeps failing. It gives a random error code during the signature upload step and resets the whole process. Extremely disappointed with the onboarding flow.,2026-05-23 10:33:31 UTC,642,
5,Super smooth and intuitive mutual fund,Super smooth and intuitive mutual fund interface. I love the side-by-side fund comparison tool and the portfolio overlap analysis which helped me rebalance. Keep up the great work and thank you for making investing simple.,2026-05-23 10:27:03 UTC,614,
2,App lock and biometric setup,"App lock and biometric setup is buggy. The app freezes for 10 seconds right after entering the welcome screen OTP. Otherwise, the rest of the application seems well-designed.",2026-05-23 10:25:21 UTC,612,
3,Too many steps required,Too many steps required just to get started. Setting up fingerprint login resets my MPIN every single time I restart the phone. Hoping the actual investing experience is better than the sign-up.,2026-05-23 10:14:39 UTC,620,
5,The design is incredibly,The design is incredibly beautiful and fast. Instant KYC was completed in under 15 minutes on a Sunday and I started my first investment immediately. Will definitely continue using this for all my wealth building.,2026-05-23 09:42:37 UTC,649,
5,Best investment app in India,Best investment app in India! Low minimum investment limits of just 100 rupees make mutual funds highly accessible to everyone. Keep up the great work and thank you for making investing simple.,2026-05-23 09:39:58 UTC,636,
1,The annual portfolio report contains,"The annual portfolio report contains blank pages. My mutual fund transactions are listed correctly, but the overall summary values are blank. A simple share button is needed.",2026-05-23 09:04:36 UTC,638,
2,Payout is delayed beyond the,"Payout is delayed beyond the promised T+2 days. Support claims the payout was successful, but my bank statement shows absolutely no deposit from their side. I will file a complaint if my payout isn't processed today.",2026-05-23 08:58:26 UTC,651,
5,Super smooth and,Super smooth and intuitive mutual fund interface. I love the side-by-side fund comparison tool and the portfolio overlap analysis which helped me rebalance. Keep up the great work and thank you for making investing simple.,2026-05-23 08:45:17 UTC,632,
5,I have been using this app,I have been using this app for 2 years without a single issue. Low minimum investment limits of just 100 rupees make mutual funds highly accessible to everyone. Kudos to the development team for such a brilliant product!,2026-05-23 08:43:19 UTC,642,
4,Onboarding took much longer than,Onboarding took much longer than advertised. I had to re-enter my personal details three times because the app crashed mid-way. Please simplify the verification screens.,2026-05-23 08:37:31 UTC,632,
2,Wish there was a,"Wish there was a better way to export watchlist data. My mutual fund transactions are listed correctly, but the overall summary values are blank. Please fix the PDF export tool as soon as possible.",2026-05-23 08:13:56 UTC,642,
4,Wish there was,Wish there was a better way to export watchlist data. The download button in the tax section opens a 0 KB corrupt PDF that won't open in Acrobat. A simple share button is needed.,2026-05-23 08:11:37 UTC,626,
